predicted,,category
0,affection,26
0,bonding,14
0,enjoy_the_moment,12
0,achievement,12
0,nature,1
0,leisure,1
0,exercise,1
1,enjoy_the_moment,13
1,affection,11
1,leisure,7
1,achievement,7
2,affection,8
3,affection,105
3,achievement,46
3,bonding,40
3,enjoy_the_moment,27
3,nature,10
3,leisure,6
3,exercise,3
4,affection,13
4,achievement,6
5,affection,36
5,achievement,10
5,bonding,5
5,enjoy_the_moment,4
6,bonding,15
6,achievement,1
7,affection,36
7,achievement,32
7,enjoy_the_moment,19
7,bonding,8
7,leisure,4
7,nature,3
7,exercise,1
